Epoch,Learning rate,Training loss,Training avg_loss,Training accuracy,Training precission,Training recall,Training specificity,Training F1,Training tp,Training fn,Training fp,Training tn,Validation loss,Validation avg_loss,Validation accuracy,Validation precission,Validation recall,Validation specificity,Validation F1,Validation tp,Validation fn,Validation fp,Validation tn
1,0.0001,2610.706938266754,0.11284663662272548,0.6192781499891938,0.6007925442136934,0.7085244482907832,0.5302245250431779,0.6502263521563021,8187.0,3368.0,5440.0,6140.0,17837.195219825022,0.10808783650855944,0.6696561127101954,0.35750287381731366,0.8856794141578519,0.6177829880289469,0.5093910022768794,28301.0,3653.0,50862.0,82209.0
2,0.0001,1858.7994503974915,0.08034577265604026,0.777739355954182,0.7413369103509948,0.8561838368190033,0.698593261549149,0.7946321591181404,9948.0,1671.0,3471.0,8045.0,13222.421682055516,0.08012374902018189,0.7683866080896834,0.45007328108073663,0.8841459598172373,0.7405896100577887,0.5964993771509406,28252.0,3702.0,34520.0,98551.0
3,0.0001,1505.020606994629,0.06505384080374449,0.8313810244218717,0.7906189926951173,0.8972076788830715,0.7667665952890792,0.8405477212344165,10282.0,1178.0,2723.0,8952.0,10590.975745533098,0.06417800785052627,0.810889259203151,0.5065604333755452,0.9013269074294298,0.7891726972819021,0.6485981308411215,28801.0,3153.0,28055.0,105016.0
4,0.0001,1292.2000823020935,0.05585476906427895,0.8655716446941863,0.8267281105990784,0.9264933723532449,0.8041156551185205,0.8737722217712477,10764.0,854.0,2256.0,9261.0,9777.685772480781,0.059249724420425885,0.824978033631268,0.5273683272435612,0.9259560618388935,0.8007304371350632,0.6720039973199787,29588.0,2366.0,26517.0,106554.0
5,0.0001,1137.7234454154968,0.049177585710633104,0.8849362437864707,0.8485200681853402,0.9393549493909762,0.8296593186372746,0.8916300276827878,10951.0,707.0,1955.0,9522.0,9680.243717814272,0.0586592559782716,0.8316982275412816,0.5380733777826356,0.9243600175251925,0.8094475881296451,0.6801998894620487,29537.0,2417.0,25357.0,107714.0
6,0.0001,999.0938422679901,0.04318538328368231,0.9046034147395721,0.8704488386691777,0.9522705811657654,0.8562597945324744,0.9095232238757021,11093.0,556.0,1651.0,9835.0,7903.48042692753,0.047892624916997605,0.8640206029389487,0.5964439218230476,0.9206672091131001,0.8504181978041797,0.72391052929452,29419.0,2535.0,19905.0,113166.0
7,0.0001,900.1468969583511,0.03890844594589804,0.9186946185433326,0.8900870676571612,0.9566449175824175,0.880212414033255,0.9221665908056441,11143.0,505.0,1376.0,10111.0,8539.390427845065,0.0517460410716259,0.8539494016058173,0.5752510925400598,0.9392251361331915,0.8334723568621263,0.7135011768062193,30012.0,1942.0,22160.0,110911.0
8,0.0001,815.8950755596161,0.035266698749064886,0.9306245947698293,0.9049190886402061,0.9636488340192044,0.8970447214715369,0.9333610130786797,11240.0,424.0,1181.0,10290.0,7595.436419170808,0.04602597436249543,0.8782790486289956,0.6222217644756628,0.9453276585091068,0.8621788368615251,0.7504751493770265,30207.0,1747.0,18340.0,114731.0
9,0.0001,731.2094436883926,0.03160620028910277,0.9418197536200562,0.9191412355021799,0.9685360145618445,0.9152440075875151,0.9431923693762134,11174.0,363.0,983.0,10615.0,6275.480441768347,0.03802745306328342,0.9067353431298288,0.6911218296369804,0.9371909620078863,0.899422113007342,0.7955635252706382,29947.0,2007.0,13384.0,119687.0
10,0.0001,687.3811170458794,0.02971174052500019,0.9467041279446726,0.9265249158525573,0.970922229869236,0.922248284249848,0.9482041587901701,11286.0,338.0,895.0,10616.0,6494.857824326951,0.039356811539627036,0.8949068322981366,0.6583573580733965,0.9504913312887275,0.8815594682537893,0.7779015713242922,30372.0,1582.0,15761.0,117310.0
11,0.0001,654.6518715023994,0.02829703356396799,0.9495137237951157,0.9313262005473999,0.9706111159132164,0.9284108594155283,0.9505629391348516,11229.0,340.0,828.0,10738.0,6999.610961779017,0.04241545803229218,0.8801999697015603,0.6244535240040858,0.9565938536646429,0.8618557010918984,0.7556363097003856,30567.0,1387.0,18383.0,114688.0
12,0.0001,598.6900001764297,0.025878106772268414,0.9564296520423601,0.940560593569662,0.9754616963064295,0.9369700148614389,0.9576932762528332,11409.0,287.0,721.0,10718.0,6940.26812079938,0.042055858935309075,0.8829328889562188,0.6306861670217827,0.9541215497277337,0.8658385373221814,0.7593997135562613,30488.0,1466.0,17853.0,115218.0
13,0.0001,577.5593503117561,0.024964743908007615,0.9588934514804409,0.9428112856901504,0.9760384783559248,0.9421367521367522,0.9591371976109656,11161.0,274.0,677.0,11023.0,5598.899720566691,0.03392758503600479,0.9230904408422966,0.731414291892931,0.9526193903736622,0.9159997294677278,0.8274887185342249,30440.0,1514.0,11178.0,121893.0
14,0.0001,553.5951558053493,0.023928902347324373,0.961703047330884,0.949570726014837,0.975927353722265,0.9472168905950096,0.9625686523024927,11392.0,281.0,605.0,10857.0,6117.255112453419,0.03706865694563502,0.9039478866838357,0.6769832721517596,0.963822995556112,0.8895702294263964,0.7953310005552184,30798.0,1156.0,14695.0,118376.0
15,0.0001,519.2409521341324,0.022443957299940885,0.966068727036957,0.9535635312127912,0.979128460396472,0.953269428277987,0.9661769141281399,11212.0,239.0,546.0,11138.0,5262.991282198684,0.03189208472776054,0.9112316315709741,0.6987390036061282,0.9520247856293422,0.9014360754785039,0.8059503781907777,30421.0,1533.0,13116.0,119955.0
16,0.0001,508.80406153202057,0.02199282738413748,0.9654635833153231,0.9538580512115484,0.9769427087916923,0.9543832823649337,0.9652623798965262,11101.0,262.0,537.0,11235.0,4970.125826210308,0.03011741146014427,0.9184366005150735,0.7141699092088197,0.9649809100582086,0.9072600341171254,0.8208438706242512,30835.0,1119.0,12341.0,120730.0
17,0.0001,491.83496245741844,0.021259345686510413,0.9679706073049492,0.9546143482654093,0.9824941502729873,0.9535184546395309,0.9683536194746957,11337.0,202.0,539.0,11057.0,4702.378670319569,0.028494947252353093,0.9417482199666717,0.7855225826240319,0.9617575264442636,0.9369434362107446,0.8647523108741224,30732.0,1222.0,8391.0,124680.0
18,0.0001,490.1760599017143,0.021187640367482788,0.9674951372379511,0.9571209800918836,0.9784310314837363,0.9566898685228151,0.9676586960261483,11250.0,248.0,504.0,11133.0,4015.3918961901218,0.02433202179178986,0.9523587335252235,0.8218274111675127,0.9626650810540152,0.9498838965664945,0.8866885737345785,30761.0,1193.0,6669.0,126402.0
19,0.0001,466.8929074406624,0.02018123654379349,0.9704776312945753,0.9614856750729113,0.9795508170934195,0.9615976736229901,0.9704341803385134,11209.0,234.0,449.0,11243.0,4588.568809051285,0.027805295010157764,0.9415846083926678,0.7891463225003887,0.9529323402390937,0.9388597064724846,0.8633399489651261,30450.0,1504.0,8136.0,124935.0
20,5e-05,471.17023169994354,0.020366121966714654,0.9698292630213962,0.9598561512084971,0.9813595553655409,0.958041958041958,0.9704887535937764,11477.0,218.0,480.0,10960.0,3789.814382927026,0.022965092458276177,0.9552431449780336,0.8338043478260869,0.9602553670901921,0.9540395728596013,0.8925735229950257,30684.0,1270.0,6116.0,126955.0
21,5e-05,421.71568936109543,0.018228471552240996,0.9752323319645558,0.9664089347079038,0.9840783833435395,0.9665926179084073,0.9751636253305015,11249.0,182.0,391.0,11313.0,3599.3436580552966,0.021810899306500812,0.9556552037570065,0.8396382485938017,0.95299493021218,0.9562940084616482,0.8927325496174254,30452.0,1502.0,5816.0,127255.0
22,5e-05,426.8124957382679,0.018448778722207387,0.9741949427274692,0.9646240254841143,0.9850196884095189,0.9631537588404785,0.974715175130236,11507.0,175.0,422.0,11031.0,4256.18049109118,0.025791125533047597,0.9353916073322224,0.7620231356140783,0.9689240783626463,0.9273395405460243,0.8531081230023145,30961.0,993.0,9669.0,123402.0
23,5e-05,409.376181691885,0.01769510186694986,0.9753187810676465,0.9657980456026058,0.984963720604948,0.9658857729138167,0.9752867344730578,11267.0,172.0,399.0,11297.0,3296.769552964187,0.019977394655138234,0.9646174821996667,0.873530337271505,0.955623709081805,0.9667771340111669,0.9127348268595596,30536.0,1418.0,4421.0,128650.0
24,5e-05,396.63726687431335,0.017144467986786833,0.9776529068510914,0.9707607383129204,0.9844310329747223,0.9710305930610152,0.9775480957137274,11255.0,178.0,339.0,11363.0,3851.4656274548634,0.023338679760368814,0.9494682623844872,0.809900002624603,0.9657006947487012,0.9455704097812446,0.8809649561059167,30858.0,1096.0,7243.0,125828.0
25,5e-05,389.0792675316334,0.016817776854619985,0.9793818889129026,0.971380042462845,0.9879081015719468,0.9708401834386087,0.9795743587547638,11438.0,140.0,337.0,11220.0,3980.388762261953,0.024119913723750663,0.9424208453264656,0.7882304611276574,0.9607560868748827,0.938018050514387,0.865984034300866,30700.0,1254.0,8248.0,124823.0
26,5e-05,395.5575887262821,0.017097799383024945,0.9783877242273611,0.9699267121556735,0.9877326928026079,0.968897020386827,0.9787487249234954,11514.0,143.0,357.0,11121.0,3444.983609592956,0.020875525584565707,0.9561823966065748,0.8361386811692726,0.9622895412154973,0.9547159035402154,0.8947896812117156,30749.0,1205.0,6026.0,127045.0
27,5e-05,389.1427800953388,0.016820522156703644,0.9778690296088178,0.9691931127616475,0.9873602751504729,0.9682746631899174,0.9781923502853735,11483.0,147.0,365.0,11140.0,3507.5075212363263,0.02125440097704182,0.9517891228601727,0.8286496850178033,0.9467985228766351,0.9529875029119793,0.8837929422762327,30254.0,1700.0,6256.0,126815.0
28,5e-05,385.41968977451324,0.016659593247223395,0.977134212232548,0.9672520573513192,0.9876126126126126,0.966698300405487,0.9773263040589774,11401.0,143.0,386.0,11205.0,3571.780467171719,0.021643874971499586,0.9561399787910922,0.8467646893765082,0.9443888089128122,0.958961757257404,0.8929163214581606,30177.0,1777.0,5461.0,127610.0
29,5e-05,380.507586479187,0.016447269785138836,0.9775664577480009,0.9681372549019608,0.9877554539967233,0.9673253596810539,0.9778479661957402,11455.0,142.0,377.0,11161.0,3208.585829417718,0.01944302881028764,0.9577639751552796,0.8460387811634349,0.955811479001064,0.9582328230794087,0.8975813324712728,30542.0,1412.0,5558.0,127513.0
30,5e-05,371.96427938342094,0.01607798916721076,0.9767451912686406,0.9667400135409614,0.9874654218533887,0.9660240338895133,0.9769928156004105,11423.0,145.0,393.0,11174.0,3166.4403422668656,0.019187640310661207,0.9584608392667777,0.8420507509062661,0.9668273142642548,0.9564518189537916,0.900135483589004,30894.0,1060.0,5795.0,127276.0
31,5e-05,366.98878169059753,0.015862925510723904,0.9785606224335422,0.9692228776609387,0.9881460821058137,0.9691305093465958,0.9785930082002589,11337.0,136.0,360.0,11302.0,3584.6151902981437,0.021721649388263254,0.9482987426147553,0.8112475415935789,0.9552481692432873,0.9466299945142067,0.8773785570566256,30524.0,1430.0,7102.0,125969.0
32,5e-05,361.07585775852203,0.0156073420254386,0.9797276853252648,0.9711237191972225,0.9889617109348051,0.9704480457578646,0.9799615466780602,11468.0,128.0,341.0,11198.0,3298.566784395708,0.019988285316744177,0.9561339191031661,0.8365240598022929,0.9613193966326594,0.954888743603039,0.8945904623225336,30718.0,1236.0,6003.0,127068.0
33,5e-05,364.85450372099876,0.015770672302615033,0.9783444996758158,0.9698841045596819,0.987510766580534,0.9691106290672451,0.9786180700781016,11465.0,145.0,356.0,11169.0,3024.816611831076,0.018329444701294204,0.9610180275715801,0.8532318339100347,0.9646053702196908,0.9601566081264888,0.9055068376445014,30823.0,1131.0,5302.0,127769.0
34,5e-05,347.63274106383324,0.015026269334939842,0.9808947482169873,0.9729431721798134,0.989391064343626,0.9723594142621956,0.9810981867943893,11471.0,123.0,319.0,11222.0,3444.6371524822735,0.020873426162595205,0.9508741099833359,0.8159128845083856,0.9637291105964825,0.9477872714565908,0.8836822244859893,30795.0,1159.0,6948.0,126123.0
35,5e-05,352.84102565050125,0.015251395100518749,0.9806354009077156,0.971568379313254,0.9904532553539176,0.9707160236357316,0.9809199318568994,11516.0,111.0,337.0,11171.0,3656.762401212089,0.022158838971138246,0.9469050143917588,0.7997621755764657,0.9682042936721538,0.9417904727551457,0.8759591154902461,30938.0,1016.0,7746.0,125325.0
36,5e-05,347.024661809206,0.014999985381854593,0.9796412362221742,0.96963068898797,0.9905465795806119,0.968605965736151,0.9799770437444203,11526.0,110.0,361.0,11138.0,3200.113632463061,0.019391689940694203,0.9560854415997576,0.8351010443510104,0.963447455717594,0.9543176199171871,0.8946947790581089,30786.0,1168.0,6079.0,126992.0
37,5e-05,338.1420634686947,0.014616039052029163,0.9817160146963475,0.9724108658743633,0.9915173547996191,0.9719392160248662,0.981871169588137,11455.0,98.0,325.0,11257.0,2699.273572080785,0.01635675547390265,0.9666111195273444,0.8780090342501,0.9611003317268574,0.9679344109535511,0.917677642980936,30711.0,1243.0,4267.0,128804.0
38,5e-05,343.5542103648186,0.014849976674511284,0.98132699373244,0.9731901217861976,0.9901049733264499,0.9724659081038826,0.9815746822485713,11507.0,115.0,317.0,11196.0,3793.50240888374,0.022987440744637114,0.9373791849719739,0.7696971209021506,0.9654816298428992,0.930631016525013,0.8565439502470986,30851.0,1103.0,9231.0,123840.0
39,5e-05,340.0826811492443,0.014699921380991757,0.9806786254592609,0.9721681752812791,0.9898363479758828,0.9714533622559653,0.9809227092313602,11492.0,118.0,329.0,11196.0,3656.7959093049044,0.022159042019723706,0.9462081502802606,0.8025698177527206,0.957814358139826,0.9434211811739598,0.8733467448529728,30606.0,1348.0,7529.0,125542.0
40,2.5e-05,339.0493848025799,0.014655257609793814,0.9815863410417117,0.9736864515030231,0.9898710068392347,0.973325276243094,0.9817120288486306,11434.0,117.0,309.0,11275.0,2685.696895100805,0.01627448504833089,0.9646114225117406,0.8752442809518336,0.9530888151718094,0.9673783168383795,0.9125093632958802,30455.0,1499.0,4341.0,128730.0
41,2.5e-05,317.5091053843498,0.013724188691780844,0.9838772422736114,0.97624723310063,0.9918692154657902,0.9758942457231726,0.9839962243102931,11467.0,94.0,279.0,11295.0,2963.9760459865684,0.017960769859030865,0.9605393122254204,0.8497855257369116,0.9671715591162295,0.9589467276867236,0.9046866309534264,30905.0,1049.0,5463.0,127608.0
42,2.5e-05,315.5066739022732,0.013637634488967935,0.9832720985519775,0.9756570080862533,0.9916103073367006,0.9747686397764973,0.9835689721054642,11583.0,98.0,289.0,11165.0,3249.377952671957,0.019690216347050184,0.9552552643538857,0.8306864064602961,0.9657632847217875,0.952732000210414,0.8931465617040982,30860.0,1094.0,6290.0,126781.0
43,2.5e-05,309.85304352641106,0.013393258851368535,0.9843527123406095,0.976873186550606,0.9921130178540475,0.9766318875571268,0.9844341245270039,11447.0,91.0,271.0,11326.0,3365.5477120663945,0.020394168835427325,0.9505590062111802,0.8141254125412541,0.9649809100582086,0.9470959112052965,0.8831574274298644,30835.0,1119.0,7040.0,126031.0
