Epoch,Learning rate,Training loss,Training avg_loss,Training accuracy,Training precission,Training recall,Training specificity,Training F1,Training tp,Training fn,Training fp,Training tn,Validation loss,Validation avg_loss,Validation accuracy,Validation precission,Validation recall,Validation specificity,Validation F1,Validation tp,Validation fn,Validation fp,Validation tn
1,0.0001,1212.9367736577988,0.052428648094134375,0.8757726388588718,0.8486932599724897,0.9126424780301052,0.8393746778903969,0.879506959584102,10489.0,1004.0,1870.0,9772.0,8306.3154863227,0.05033367966261293,0.8585426450537798,0.5803531431984471,0.9730550165863429,0.8310450811972556,0.7270665263650182,31093.0,861.0,22483.0,110588.0
2,0.0001,589.9610841274261,0.025500803290573856,0.9610546790577048,0.9414972731779871,0.9833434020885475,0.9386906823692415,0.9619654692051163,11394.0,193.0,708.0,10840.0,3937.949151997758,0.023862742929845526,0.9301923950916527,0.7465730282845835,0.9681104087125243,0.9210872391430138,0.8430303856111186,30935.0,1019.0,10501.0,122570.0
3,0.0001,442.6559790670872,0.019133606184010683,0.9728982061811109,0.9622119815668203,0.9849056603773585,0.9606971677559912,0.9734265734265736,11484.0,176.0,451.0,11024.0,2778.4946771726973,0.016836810647918178,0.9704893198000303,0.8844974446337308,0.9749014207923891,0.9694298532362423,0.9275017119718939,31152.0,802.0,4068.0,129003.0
4,0.0001,336.85013791918755,0.01456019614952183,0.9841365895828831,0.9796005828404902,0.9888388994635751,0.9794419970631424,0.9841980624327235,11429.0,129.0,238.0,11339.0,1613.4363430521312,0.00977692072747845,0.988274503863051,0.9517803931011648,0.9895787694811291,0.9879613138850689,0.9703116129923133,31621.0,333.0,1602.0,131469.0
5,0.0001,272.3828480541706,0.011773626455767046,0.9896693321806787,0.988835451734799,0.9906220425019359,0.9887074357192495,0.9897279408604461,11514.0,109.0,130.0,11382.0,2069.163301866247,0.012538483877389772,0.977973034388729,0.9193295229069802,0.9714902672591851,0.979529724733413,0.9446904338035026,31043.0,911.0,2724.0,130347.0
6,0.0001,228.76499111950397,0.009888264150399999,0.9922628052733953,0.9932183020001717,0.9914310197086547,0.9931094635848233,0.9923238560830224,11570.0,100.0,79.0,11386.0,2499.2607882241955,0.015144740422506865,0.9743190425693077,0.9047785956303307,0.9693935031607936,0.975501799791089,0.9359722012388578,30976.0,978.0,3260.0,129811.0
7,0.0001,179.95636492967606,0.00777853317180359,0.9954181975362005,0.9970628887353145,0.9938005855002583,0.9970488672858259,0.9954290642518328,11542.0,72.0,34.0,11487.0,1339.4064354124887,0.008116385004771935,0.9879472807150432,0.9708368687344835,0.9667960192777117,0.9930262792043345,0.968812230497844,30893.0,1061.0,928.0,132143.0
8,0.0001,165.4495113492012,0.0071514809314545584,0.9958936676031986,0.9979124989127599,0.9938496188496189,0.9979294280044863,0.9958769150644504,11473.0,71.0,24.0,11567.0,1334.8618875933294,0.008088846463222719,0.9913225268898652,0.9681575556782624,0.9876697753019966,0.9921996528169172,0.9778163341182303,31560.0,394.0,1038.0,132033.0
9,0.0001,169.35247945785522,0.007320184977646649,0.994553706505295,0.9973155524766193,0.9918188081295212,0.9973097283693483,0.994559585492228,11517.0,95.0,31.0,11492.0,1777.0031611592703,0.010768084600268265,0.9787910922587487,0.952253798715748,0.9374726168867747,0.9887127924190845,0.944805399608907,29956.0,1998.0,1502.0,131569.0
10,5e-05,157.3619792163372,0.006801900981903489,0.9950724011238383,0.9976683937823834,0.9925257731958763,0.9976511526750761,0.9950904392764858,11553.0,87.0,27.0,11468.0,1288.6045758458558,0.007808541589734015,0.9879472807150432,0.9687451115352126,0.9690179633222757,0.9924927294451834,0.9688815182189401,30964.0,990.0,999.0,132072.0
11,5e-05,96.48825691640377,0.004170661634597094,0.9985303652474605,0.9993940967714013,0.9976669834960684,0.9993945684137693,0.9985297933062355,11546.0,27.0,7.0,11555.0,758.1752034798179,0.004594305126373688,0.9920496894409938,0.9790207603801901,0.9799399136258371,0.9949575790367549,0.9794801213675749,31313.0,641.0,671.0,132400.0
12,5e-05,97.35583122074604,0.004208162144834495,0.9981845688350983,0.9989526968057253,0.9973858487277797,0.9989707522085942,0.9981686578878521,11446.0,30.0,12.0,11647.0,990.5603721995974,0.006002486727463096,0.9889956067262536,0.9660419372796437,0.9775301996620142,0.9917487656965078,0.9717521154803385,31236.0,718.0,1098.0,131973.0
13,5e-05,97.19269016385078,0.004201110445811575,0.9986168143505512,0.9996542783059637,0.9975849577367604,0.999653409583225,0.9986185460196857,11566.0,28.0,4.0,11537.0,894.2817082308427,0.0054190680698733085,0.9925041660354492,0.9794586832329161,0.9818802027915128,0.9950552712461769,0.9806679481769733,31375.0,579.0,658.0,132413.0
14,5e-05,99.61594900488853,0.004305854722493561,0.9985303652474605,0.9994784876140809,0.9975709204476446,0.9994831150930393,0.998523792983675,11499.0,28.0,6.0,11602.0,888.6216235457209,0.005384769723046332,0.9922860172701106,0.9756006820647961,0.9847906365400263,0.9940858639372966,0.98017411889299,31468.0,486.0,787.0,132284.0
15,5e-05,100.87268662452698,0.004360176642512512,0.9981413442835531,0.9992183428869202,0.9970534708380275,0.9992238703001035,0.9981347330065501,11505.0,34.0,9.0,11587.0,820.1250747775644,0.004969702013498345,0.9926495985456749,0.9826054193224277,0.9793766038680604,0.9958368089215531,0.9809883547795558,31295.0,659.0,554.0,132517.0
16,5e-05,96.86940661817789,0.004187136659527897,0.9982277933866436,0.9990401396160559,0.9973865319278683,0.9990562800274537,0.9982126509438076,11449.0,30.0,11.0,11645.0,1001.430413903139,0.006068355787929944,0.9906074837145887,0.9768207766137632,0.9746197659135006,0.9944465736336242,0.975719030014412,31143.0,811.0,739.0,132332.0
17,5e-05,99.63713786751032,0.004306770601578142,0.9983142424897342,0.9998277050310131,0.9968221248819032,0.9998259658893143,0.9983226527891275,11606.0,37.0,2.0,11490.0,709.8505760858477,0.004301472965222528,0.9919163763066202,0.9761460471480997,0.9822557426300307,0.9942361596440997,0.9791913645722843,31387.0,567.0,767.0,132304.0
18,5e-05,95.41301727294922,0.004124184883205067,0.99844391614437,0.9995639281353567,0.9973024712843718,0.9995705574164734,0.998431919156721,11461.0,31.0,5.0,11638.0,1028.3440525232788,0.006231444038923065,0.9892319345553704,0.9748245586430437,0.9694247981473368,0.9939881717278746,0.9721171800222812,30977.0,977.0,800.0,132271.0
19,5e-05,101.3397576957941,0.004380365580107806,0.9978819969742814,0.9995648389904265,0.9961835371671437,0.999569188350853,0.9978713236891262,11485.0,44.0,5.0,11601.0,992.5032318431149,0.006014259850586971,0.9888077564005454,0.9689125626888453,0.9734305564248608,0.9925002442305235,0.9711663050096008,31105.0,849.0,998.0,132073.0
20,2.5e-05,91.46761378645897,0.00395364658683635,0.9983142424897342,0.999651507231225,0.9969589017290816,0.9996559435747463,0.9983033888719712,11474.0,35.0,4.0,11622.0,1347.544872185431,0.008165701391822032,0.9880260566580821,0.9658441074092491,0.9725542968016524,0.9917412509111677,0.969187587712459,31077.0,877.0,1099.0,131972.0
21,2.5e-05,73.65255533158779,0.0031835986743716355,0.9990922844175492,0.9997398091934085,0.9984408834993503,0.9997411561691113,0.9990899241603468,11527.0,18.0,3.0,11587.0,827.3015011658349,0.005013188917835691,0.9937403423723679,0.9875437545331273,0.9800337985854666,0.9970316597906381,0.983774444357182,31316.0,638.0,395.0,132676.0
22,2.5e-05,71.62033914774656,0.0030957570411820428,0.9992651826237303,0.9998280161664803,0.9987115615873561,0.9998259810319324,0.9992694770314984,11627.0,15.0,2.0,11491.0,735.9700462777517,0.004459748803379801,0.9899893955461294,0.97519131852967,0.9730550165863429,0.994055804795936,0.9741219963031423,31093.0,861.0,791.0,132280.0
23,2.5e-05,77.85297766327858,0.0033651600459597398,0.9984871406959153,0.9996500437445319,0.9972942306013791,0.9996574755951362,0.9984707475859659,11426.0,31.0,4.0,11674.0,714.4404920167401,0.004329286423370641,0.9933040448416907,0.979841343910406,0.9856981911497779,0.9951304190995784,0.9827610415139082,31497.0,457.0,648.0,132423.0
24,2.5e-05,72.2042928636074,0.0031209981786733264,0.9991787335206397,0.9999133148404993,0.9984419631264606,0.9999136591262303,0.9991770973190697,11535.0,18.0,1.0,11581.0,878.5204847514849,0.005323559974255324,0.9913346462657173,0.9752444416765274,0.980127683545096,0.9940257456545754,0.9776799650371479,31319.0,635.0,795.0,132276.0
25,2.5e-05,72.02882494032383,0.0031134136563788126,0.999221958072185,0.9996527476343433,0.9987856709168185,0.9996553506806825,0.9992190211732037,11515.0,14.0,4.0,11602.0,795.6463915208811,0.004821368832121685,0.9885411301317982,0.9704547588494883,0.9703636477436315,0.992906042638892,0.9704092011579688,31007.0,947.0,944.0,132127.0
26,2.5e-05,72.12530091404915,0.0031175837870779837,0.9991787335206397,0.9999132095122375,0.9984400727966029,0.9999137633666781,0.999176098174407,11521.0,18.0,1.0,11595.0,1026.0392764241958,0.006217477815023153,0.9895894561430086,0.9759476136506737,0.9701445828378293,0.9942587040001203,0.9730374462475283,31000.0,954.0,764.0,132307.0
27,2.5e-05,74.90915284305811,0.003237914538277852,0.9993516317268208,0.9999134648667359,0.9987898694787795,0.9999135396852844,0.9993513513513513,11555.0,14.0,1.0,11565.0,623.5304734642862,0.0037784000815893723,0.9933525223450992,0.9840010038585815,0.9816298428991675,0.9961674594765201,0.9828139932007959,31367.0,587.0,510.0,132561.0
